Questions,Answers,Patterns,Tags
What are cardiovascular diseases (CVDs)?,Cardiovascular diseases (CVDs) are a group of disorders of the heart and blood vessels.,What is meant by CVDs? Define cardiovascular diseases.,cvd_definition
What causes heart attacks?,Heart attacks are mainly caused by a blockage that prevents blood from flowing to the heart.,What leads to a heart attack? Reasons for heart attacks?,heart_attack_cause
What are the risk factors for cardiovascular diseases?,The most important risk factors are unhealthy diet physical inactivity tobacco use and harmful use of alcohol.,What increases the risk of CVDs? Factors contributing to heart disease?,cvd_risk_factors
How can cardiovascular diseases be prevented?,CVDs can be prevented by addressing risk factors such as diet exercise and avoiding tobacco and alcohol.,Ways to prevent heart diseases? How to avoid CVDs?,cvd_prevention
What is coronary heart disease?,It is a disease of the blood vessels supplying the heart muscle.,Explain coronary heart disease What is CHD?,coronary_heart_disease
What is cerebrovascular disease?,It is a disease of the blood vessels supplying the brain.,What is cerebrovascular disease? Explain cerebrovascular disease.,cerebrovascular_disease
What is peripheral arterial disease?,It is a disease of blood vessels supplying the arms and legs.,Define peripheral arterial disease What is PAD?,peripheral_arterial_disease
What is rheumatic heart disease?,It is caused by damage to the heart muscle and valves from rheumatic fever.,Explain rheumatic heart disease What causes rheumatic heart disease?,rheumatic_heart_disease
What is congenital heart disease?,It refers to birth defects affecting the normal development of the heart.,What is meant by congenital heart disease? Define congenital heart disease.,congenital_heart_disease
What are the symptoms of a heart attack?,Symptoms include chest pain shortness of breath nausea and light-headedness.,What are the signs of a heart attack? Heart attack symptoms?,heart_attack_symptoms
What are the symptoms of a stroke?,Symptoms include sudden weakness confusion trouble seeing and severe headache.,What are the signs of a stroke? Stroke symptoms?,stroke_symptoms
How is cardiovascular disease diagnosed?,Diagnosis involves measuring intermediate risk factors like blood pressure and cholesterol.,How do doctors diagnose CVDs? Methods for diagnosing heart disease?,cvd_diagnosis
How does tobacco use affect cardiovascular health?,Tobacco use is a major risk factor for developing CVDs.,Impact of smoking on heart health? How does smoking affect the heart?,tobacco_impact
How does diet affect cardiovascular health?,An unhealthy diet increases the risk of CVDs.,Impact of diet on heart health? How does food affect the heart?,diet_impact
What role does physical activity play in cardiovascular health?,Regular physical activity reduces the risk of CVDs.,Impact of exercise on heart health? How does activity affect the heart?,physical_activity
How does alcohol use affect cardiovascular health?,Harmful use of alcohol increases the risk of CVDs.,Impact of alcohol on heart health? How does drinking affect the heart?,alcohol_impact
What environmental factors contribute to cardiovascular disease?,Air pollution is an important environmental risk factor for CVDs.,How does pollution affect heart health? Environmental risks for CVDs?,environmental_factors
What are the global statistics on cardiovascular disease?,CVDs are the leading cause of death globally with 17.9 million deaths in 2019.,Global death rates from CVDs? How many die from heart disease worldwide?,cvd_statistics
How does cardiovascular disease impact low- and middle-income countries?,These countries experience a higher burden of CVDs due to less access to healthcare.,Impact of CVDs in poorer countries? CVDs in developing nations?,low_income_impact
What are common treatments for cardiovascular diseases?,Treatments include medication lifestyle changes and sometimes surgery.,How are CVDs treated? Treatment options for heart disease?,cvd_treatments
What is the WHO's response to cardiovascular diseases?,The WHO aims to reduce premature deaths from CVDs by 25% by 2025.,WHO goals for CVDs? What is WHO doing about heart disease?,who_response
What medications are used to treat cardiovascular diseases?,Common medications include aspirin beta-blockers and statins.,Drugs for treating CVDs? What medicine helps with heart disease?,cvd_medications
What surgical procedures are used for cardiovascular diseases?,Procedures include coronary artery bypass balloon angioplasty and valve repair.,Heart surgeries for CVDs? Surgical treatments for heart disease?,cvd_surgeries
How can air quality improvement reduce cardiovascular disease?,Improved air quality reduces the environmental risk factor for CVDs.,Link between air quality and heart health? How does clean air affect the heart?,air_quality
What are the economic impacts of cardiovascular diseases?,CVDs place a heavy economic burden on low- and middle-income countries.,Economic burden of CVDs? How do heart diseases affect the economy?,economic_impact
What is the leading cause of death globally?,Cardiovascular diseases (CVDs) are the leading cause of death globally taking an estimated 17.9 million lives each year.,What kills the most people worldwide? Global leading cause of death?,leading_cause
What are the common types of cardiovascular diseases?,Common types include coronary heart disease cerebrovascular disease and rheumatic heart disease.,Types of CVDs? Major cardiovascular diseases?,cvd_types
How does air pollution impact cardiovascular health?,Air pollution is an important environmental risk factor for cardiovascular diseases.,Impact of air pollution on heart health? How does pollution affect CVDs?,air_pollution
